pCONS_label,replicate,GFP,mScarlet,log_GFP,log_mScarlet,exp
pNOS,3,280569,156026,5.448039684252282,5.193196974736915,hi
pNOS,1,316471,141792,5.500333919354917,5.151651728351518,hi
pNOS,3,292573,128393,5.466234244919649,5.108541346596978,hi
pNOS,1,260680,122480,5.416107712323562,5.088065177690204,hi
pNOS,3,331274,197489,5.520187351669373,5.295542910735426,hi
pNOS,1,294672,97273,5.469338870755885,4.987992310173357,hi
pNOS,2,349213,172640,5.543090402625674,5.237141427338836,hi
pNOS,3,386327,180507,5.586955061603905,5.256494048360382,hi
pNOS,2,405549,181755,5.608043334857827,5.259486366945332,hi
pNOS,1,263538,112953,5.420843245736206,5.052897770149197,hi
pNOS,2,381043,149310,5.580973987772683,5.174088895463686,hi
pCM2,1,131152,3864,5.117774917742545,3.5870371177434555,low
pCM2,2,165964,3936,5.220013893480345,3.595055089759304,low
pCH2,2,1070862,2880,6.029733507713237,3.459392487759231,low
pCH2,3,876222,2409,5.942614153154705,3.3818367999983434,low
pCH4,1,868793,5017,5.938916313080844,3.700444101027752,low
pCH4,2,911875,5524,5.959935309237527,3.7422536699065936,low
pCM5,1,599843,10471,5.778037595123667,4.019988159591286,low
pCM5,2,398020,7620,5.59990489536868,3.8819549713396007,low
pCM5,3,374308,5919,5.5732291092910895,3.7722483399718536,low
pCH2,1,1194321,3509,6.077121068663082,3.5451833682154064,low
pCM2,3,91872,2338,4.963183170816412,3.368844506825821,low
pCH2,3,1254004,3217,6.09829892180184,3.50745106090197,low
pCH4,1,632347,4236,5.800955462506026,3.626955951435448,low
pCH4,2,683073,4241,5.834467119205753,3.62746827245971,low
pCH4,3,611237,3873,5.786209635504596,3.588047496986083,low
pCM5,1,467833,8751,5.670090852813933,3.942057683841395,low
pCM5,2,382740,7095,5.582903852534104,3.850952399793493,low
pCM5,3,374482,6380,5.573430947566738,3.804820678721162,low
pCH2,1,1310422,3612,6.1174111756239125,3.557747741641468,low
pCM2,1,133941,3275,5.126913537043499,3.515211304327802,low
pCM2,2,162859,4503,5.211811763774912,3.653501946962933,low
pCH2,2,1061595,2845,6.025958864380189,3.45408227073109,low
pCH4,1,684668,4610,5.83548003029439,3.663700925389648,low
pCH4,2,676396,4359,5.830201030647963,3.639386869017684,low
pCM5,1,569624,9704,5.755588279168099,3.986950787858517,low
pCM5,3,365948,6060,5.563419377969574,3.782472624166286,low
pCH2,1,1480181,3607,6.170314825188799,3.5571461423183632,low
pCM2,1,133915,3372,5.126829225648085,3.527887565952705,low
pCM2,2,202984,4996,5.3074618064572245,3.6986224297020978,low
pCM2,3,173015,4449,5.238083757087338,3.648262405748045,low
pCH2,3,1025537,2566,6.010951333749685,3.4092566520389096,low
pCH4,2,821865,5254,5.91480048594629,3.720490068450052,low
pCH4,3,664389,4123,5.822422433413842,3.6152133348013584,low
pCM5,1,541255,9615,5.733401921301153,3.9829492885744986,low
pCM2,2,269896,6423,5.431196448132655,3.807737922014101,low
pCM2,3,133959,2985,5.126971896884379,3.474944335465388,low
pCH2,2,1036264,2825,6.01547041094716,3.451018452155457,low
pCH2,3,1084323,2865,6.03515866986158,3.457124626303409,low
pCH4,2,744506,4671,5.871868202096779,3.669409867287783,low
pCH4,3,645603,4631,5.80996553980636,3.665674780993893,low
pCM5,2,388346,7071,5.589218836239944,3.8494808372439855,low
pCH2,1,1285105,3318,6.108938613315273,3.5208763816883417,low
pCM2,1,140450,3338,5.147521743537597,3.523486332343228,low
pCM2,3,197033,4664,5.294538969906083,3.668758541750958,low
pCH2,2,855432,2397,5.932185492312516,3.379668034033654,low
pCH2,3,1409142,3171,6.148954759403945,3.501196242027089,low
pCH4,1,704261,4397,5.847733639047221,3.643156465619706,low
pCH4,3,609662,4115,5.785089126456034,3.6143698395482886,low
pCM5,1,600079,8821,5.778208428726269,3.94551782207784,low
pCM5,2,427379,8575,5.630813178548256,3.933234128714808,low
pCM5,3,393162,7519,5.594571535640713,3.876160084825628,low
pCH2,1,1189252,4192,6.075273890458333,3.6224212739756703,low
pCM2,1,156602,3833,5.194797304231614,3.583538819254352,low
pCM2,2,178097,4321,5.250656603941519,3.63558426631123,low
pCM2,3,150874,3369,5.178614404590601,3.52750101098112,low
pCH2,2,849805,2407,5.929319282020643,3.38147609027503,low
pCH4,1,766496,4782,5.884509892807536,3.679609571779756,low
pCH4,2,677578,4392,5.83095929662355,3.642662331442036,low
pCH4,3,701046,4976,5.845746515670977,3.696880371682762,low
pCM5,1,635484,11269,5.803104620508932,4.051885378889872,low
pCM5,2,480687,10372,5.681862376955756,4.015862508097314,low
pCM5,3,435130,6951,5.63861902672023,3.842047288509638,low
pCH2,1,1130504,3299,6.053272103324328,3.518382315545344,low
pCM2,1,121598,3408,5.084926431876626,3.532499586094662,low
pCM2,2,242493,5596,5.384699206421782,3.74787770581979,low
pCM2,3,139995,3445,5.146112524884047,3.5371892262436444,low
pCH2,2,820405,2455,5.914028298534204,3.3900514964589874,low
pCH2,3,945043,2428,5.975451569607529,3.38524868240322,low
pCH4,1,661267,4257,5.820376850126478,3.629103650177136,low
pCH4,3,621691,3686,5.793574580286559,3.566555330883055,low
pCM5,2,345812,6944,5.5388400596243095,3.8416097121684354,low
